AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma	average_hr	hrv	Condition
29.722596220544084	35.899655896492966	46.63945491132743	88.17817950363487	62.43637570477235	31.45577517059542	35.71297956253004	47.60254108722073	89.115279968873	63.17751993762099	29.032352703602466	35.00138351427556	43.67554575492927	76.80662120199311	57.83913817264711	30.65648826518344	37.01968932985329	44.235335780990354	82.98898836326443	60.31218293254978	31.926747570622116	36.04932674953108	43.64065045221288	95.90684859200694	65.8285611945726	32.17304922586108	36.25518025412856	47.660132196833715	100.43228758949414	70.65510965189684	31.356211035403767	37.29706763732412	43.94675453304876	87.86300302983418	60.02395569945965	33.6942777222407	32.55521004246902	53.02413712590945	110.64258644054081	66.52811768184065	30.79044880038224	37.965347175752115	45.315958944783674	92.54646720484395	65.88691931918838	31.88138748627147	37.77496096786931	45.71250073819043	93.92069081448676	67.199541247646	30.624300818678623	38.59386298353965	43.62127471057379	94.0208244124544	58.5512482618537	31.881920199261415	38.31680903568576	47.795255056234424	96.49994389121181	63.50798066887112	32.08645804325839	38.72327958670086	49.852322440346555	95.07344084881275	58.37999775623645	31.72922540020011	36.57192499170278	47.82611763458101	98.86300831318421	62.45211515408895	23.925990023414446	0.05753134569881146	low
30.640509338999422	35.76695965511895	44.26948805329563	87.08939592778911	60.12451465346732	30.749191250209876	30.96001449258952	45.77745952026844	93.24162689600897	65.1125596668698	29.9880856178904	29.48698300952375	41.92021802799699	80.07696582283201	58.81395321230356	30.7510345228022	32.269569527069066	42.57495990197748	87.38938227411856	58.09297836033849	29.807693152402422	34.119353615833745	46.76166230419968	96.45042641864838	62.16114192412233	29.941872473151644	32.88957140029635	49.910658799560345	92.02350683370376	74.53569627738247	28.767807150415777	29.855441725505145	43.04396611020031	87.09446953825959	60.508805121240705	31.765955781326618	27.380321796069506	46.40986515079747	90.45306832209148	67.37145537267727	28.105562972080314	31.948778095037675	47.538662970762225	93.14481988007715	57.719364475885186	29.24815263790849	31.218796356040787	47.461004509291826	96.48424138772171	63.77611184987906	27.166535246726298	32.15724080720658	44.16818093018894	93.23000967452317	57.666088875561485	28.87490104841775	32.18874293838952	46.61660832814061	90.07081016384657	65.35576770810157	29.759859568246377	32.719157516643314	47.24813999394523	101.26029009885289	52.36637052268935	29.490777051304065	31.674491585822437	47.3688569934059	90.99563450039652	63.27094349766208	26.11677949709866	0.027522355446164895	low
27.904986822601376	28.635663301810077	43.75236865581671	90.43395776706635	60.647930306552524	30.359549532282138	30.13614198094754	48.23093303115905	98.11719976942088	70.45570806420754	29.767390463030154	27.099183845118155	42.144960240555484	77.79699314504313	62.580308462993614	28.235195130715603	25.90316791351063	43.885639244677925	98.99353363028024	68.55520711100543	29.39511886409243	36.64074370643544	41.81613351188756	94.93679470233037	65.98254594114796	31.591203202064452	32.625325702856074	52.772374493508174	108.4913828022241	73.47990510647601	29.203012408472443	28.941685750375306	39.04229542364489	97.23570856373308	73.59848101447739	30.766391809563856	31.527704617002215	47.890820674951065	108.20375832371647	70.74672052118137	28.46660631800507	29.370571538890125	37.152639435296045	110.35510192389921	79.16186107934111	27.98460306956701	30.55040865216831	41.32186907908121	114.96700592723568	74.53115151165181	27.37925219413546	29.89368466456239	35.34399208839144	108.32307762422742	70.36111660797351	28.236151266979775	31.105351416776482	42.1918485322596	116.98074805279474	76.15787507591209	29.155764393403977	32.979811848534155	40.52980477687284	103.5675193084385	82.09314313716604	29.180887245961305	30.010444813646835	44.29940303498195	113.29319472721832	75.26277492723798	25.929279497098655	0.018462277516493833	low
30.761648252722022	30.626069664049677	44.40071314803346	95.45530830237226	62.120766931037565	32.00019988548627	31.780929411372288	46.80214863534309	104.60850588974633	66.62842489252013	29.341740638327728	30.98270700986827	41.74223481356195	88.00047856273	60.01049932922825	29.936369018946298	31.72597800108126	43.17605393319287	96.94193083332517	64.6464391200776	31.244104440035123	33.52321917701629	45.07415785433045	101.55167140716118	58.13913180175402	32.363267643147935	33.069507853562826	50.03085168899133	106.98620233256747	67.83371001831745	29.249813005152774	32.119784360882015	42.21521416920346	95.7306636309441	57.47697620993269	31.199560382583677	29.21189618724965	45.2030234963426	102.19995297981025	62.41093281395742	28.71521746764132	30.090068986588093	35.21447911721029	94.8007308692649	66.16877812620642	27.65054878095624	31.57241861279956	36.85116697171622	98.22016119251256	70.51760213798009	25.904317234613337	31.5549315599584	33.59747515177821	83.48352588318346	53.70500786988425	26.093360156054715	28.381117023912804	39.410765012764415	95.87571435278804	67.12235260445344	29.69427721790337	30.794066769500123	33.92568929346674	88.94009755531967	47.699378497774845	30.152596802347407	26.806937334543278	41.473575309853445	94.34107347726678	63.27477529005498	24.549471804790965	0.050943697335094726	low
29.379510211342243	33.73269769472016	43.74890610807945	90.14478928530293	49.66702936071877	30.515796637121543	33.69356009237256	47.41122591113753	97.66203960644273	58.72565330499097	29.91821713635999	32.50311856727186	40.30015619994278	86.39370705677922	46.49532510154869	31.164684609894366	33.20777104799297	44.118823609652914	93.03456296835995	54.61508656553604	32.75942207935185	40.72088164325061	45.13793272190294	106.75609908512102	62.64032056839956	32.65353113096885	39.773132281599736	51.02422987900782	111.6238789286702	69.66319155380906	33.563682530753454	35.74105128619669	43.30571321595701	91.83479319199357	45.854498085431686	31.098305704910032	36.89568440167611	47.53851487080774	95.33301852071398	64.06642156661107	29.45401347371324	32.20944644701587	43.454678853794036	91.44023968761385	56.421901976371224	30.51775380855613	35.345252000388705	39.007654873597566	97.8867367480452	58.64893492840262	30.22168086166099	33.40425969749118	39.26889729031588	76.42971792316558	51.85151222699027	30.63599656478752	35.68709878140386	42.692836138263715	98.79578372775664	59.608358269005414	29.529020193761824	30.599967853180914	40.63302402880176	99.31830350744234	56.239918406240534	28.750506246376418	36.156714479455495	44.93337491863878	106.20781408778359	62.532532708474186	24.241779497098655	0.027500731402430905	low
25.14954533547462	28.75241537897737	37.233053282881755	90.52079424333682	57.70760655714773	27.79728184470515	32.303452161337134	43.99151938544906	101.87546918286223	67.85832962744985	24.752044112142062	29.06388552579871	38.714376244023626	85.84465162863576	58.323758491631835	26.33528949096057	29.104945428549236	42.016853911559906	91.85439819036485	59.01031714122165	22.28853657348232	19.919365382172423	36.118021431322944	91.26218570195327	60.357511120806	30.15705773205537	33.62750505085356	48.46425482688002	98.32413445625063	79.0967113498353	25.816371753703343	29.420407989480935	36.88776839240385	89.6716621558472	56.140114905451036	29.098595072977616	32.63568380717849	43.69902276647247	94.33247306152329	72.39044173470049	27.770100847552825	25.80918863172124	39.694840657557485	87.8965883788084	54.13189366400512	29.3288568525617	25.60051233423284	33.980387347876785	92.71483682408802	59.36472276671221	29.98768673804986	30.623927844178	33.89652404053723	88.56276378247323	53.781235123799824	27.776709948092627	28.40706363821362	31.166891652649603	92.78953833314152	64.89304168347414	31.055778127702148	32.078276412370904	37.046882264989186	105.0027624387315	55.361061049791864	30.136058624151897	30.665545343875998	37.35060449868858	99.60260965823987	71.09845016383709	21.804279497098655	0.03336218599610083	low
24.801526131574345	30.518157691338686	41.61869459761911	83.85697138697289	57.123017287677484	26.371519324862064	31.079092293069145	39.039069131350885	108.09749826125795	65.86903641647089	25.590286351020502	30.187064200099883	35.14452046501571	88.54218968116616	61.33431992121099	24.670594454896644	29.096547539164547	41.265918369807885	98.30075984494898	68.54348332450357	24.87637246268548	29.68108511211224	45.448868185398695	104.97029339008017	64.74648219027138	28.0994366945345	33.82379325337314	47.02423681253756	116.71433707329021	64.51768460632051	24.110101406318698	32.9768852135968	45.25883903598366	101.77501120687421	62.49819155217877	34.145747098653096	37.07240244353868	41.67290916682189	104.83257580718583	70.16571767557662	48.98778143126357	57.95597260389805	78.53069761667665	182.0655065821514	103.53355991541179	28.369534284494556	32.31600240331248	44.01993820750269	93.60424823115949	63.48824849439282	30.937888905127053	24.647270397376133	42.583642458745324	93.60536582723577	52.82520639498491	27.70733782212965	32.73962268101739	43.2020294156939	88.5811949113107	70.03719453071515	26.39551455867455	28.035160946574916	41.040929034459324	103.99240539516141	47.92414910205769	28.07159351846882	29.523488745399153	40.43874936872714	103.5780291798472	72.0782661194131	22.241779497098655	3.315225044709859e-16	low
31.321951777668847	36.02645671256872	41.420167807372785	93.6217674055982	47.87824839991235	30.150752289041243	34.019879816398245	44.493809946950385	98.81723749838633	54.175376607381544	30.457662731227497	30.651327076613168	44.07043361073885	92.38928028072749	50.76437714414267	30.649663185819737	31.12058303859637	45.69978755990875	98.11900838285258	54.299557535087835	30.653664512872936	42.231610261383224	46.433491924189426	102.04698659599475	60.59058393848109	30.52744278038061	38.50859935119249	48.613526152993344	108.15426577991303	59.31254549104613	31.21641846631308	35.64933817466192	41.16491179846852	99.10155158190868	52.11995815122359	30.912991323108464	36.90277029538917	47.933451284363954	98.14569456832328	58.300931607725985	35.18940471736729	39.79908592330435	46.46275541522552	106.38371079450913	71.49956177906047	33.09922029604984	33.17448978170301	43.180711976363305	95.345895695799	66.1776317746906	32.034547009610016	31.437369285393537	40.40564051189248	91.89904254898747	59.000264102746975	33.63312862171341	34.20363730459921	44.171926682396624	97.68670627332547	63.96236568527455	31.105823638273858	40.265941919756166	49.217164379882476	107.79215615384173	54.68791818307663	32.17690934858874	35.118112883333126	48.57372158896278	93.73074439748135	54.27490920257565	20.34704265499339	0.056500835356724226	low
31.91991500571391	31.492113783086328	43.81770849672817	95.95067225692831	63.55284384701745	31.009174667201506	30.509902793538814	46.00582915413066	108.12988740063717	70.35008057130024	31.540504704344485	26.202692902901475	39.79555487109823	96.12943475752984	61.262573329862775	32.18126914878336	27.641528932338723	44.507059842024965	100.77946287430922	60.66861590349504	30.31821144710142	28.369658213890776	40.51309319713987	103.25034896443118	66.02523827341703	33.911630427053964	38.23032911017768	49.960294031115694	112.52733839333138	79.57784100195526	32.02174235509618	30.30263512732393	39.978374213168195	87.38451799330713	54.5493103120907	31.464690804316135	32.92385598902654	48.15342476550347	106.77046109382906	73.60889006979929	32.64803728185551	33.91741124674462	45.93410643305318	103.59428062361987	58.377514312540534	30.335122806331793	31.033367855914214	40.38751439092413	100.59629747138096	61.41023552538465	30.101698357943732	28.82389028485586	30.313202335170637	91.91147776919628	53.70524034913636	30.705710122912542	30.583277341551206	41.5482868542075	102.74573432490102	63.45457640102415	24.453535462114388	31.195879104377283	35.98139631678753	91.67889897072817	48.2640421678595	29.96595640514051	32.483398258538536	46.97342986704891	104.4678716331631	64.56797039354132	19.741779497098655	0.03854191109593264	low
26.096383193377868	37.62701802853559	48.66826795784299	115.71351370067256	56.149181308795065	21.25558890041728	39.420430192689	55.216796207530024	143.8427877383764	64.78463173905926	24.846670886218867	36.38752689481204	49.473091331928416	128.6957360815558	56.718915617659356	25.277078693084366	38.43116263935315	50.678904640608174	143.83802323154796	69.36665341812181	26.22884761168848	36.465214181227935	53.854169577595734	136.01828788682127	67.07005718474053	24.416753989295554	41.87116312743102	58.68948954730426	152.54174144781143	79.57053509782104	25.124751362068583	39.77896715146448	56.39100976150223	147.19299947212383	71.25481564150931	27.844306687514084	41.13504883027724	58.975415828891315	152.71413267932985	88.60691481595263	29.623182602523883	39.00901799413126	60.67479466721253	151.1621072580014	71.27735876938273	26.130167062522826	40.57938878120147	59.96083056747635	153.45296889040713	70.42520722327232	26.663550100935637	37.74915133852501	56.58063145789465	142.53452653305266	72.47755089369572	27.200459652961186	40.671344436947706	60.61646833169977	153.83576956229223	72.78345132621018	27.125457370491425	45.02742245109728	53.17231873925412	154.7948273826999	75.28670075701378	28.00671093787713	41.168067301150764	57.38967154172184	155.43506468868136	77.43643596652674	22.504937391835497	0.05097008933554973	low
