AF3_delta	AF3_theta	AF3_alpha	AF3_beta	AF3_gamma	AF4_delta	AF4_theta	AF4_alpha	AF4_beta	AF4_gamma	F3_delta	F3_theta	F3_alpha	F3_beta	F3_gamma	F4_delta	F4_theta	F4_alpha	F4_beta	F4_gamma	F7_delta	F7_theta	F7_alpha	F7_beta	F7_gamma	F8_delta	F8_theta	F8_alpha	F8_beta	F8_gamma	FC5_delta	FC5_theta	FC5_alpha	FC5_beta	FC5_gamma	FC6_delta	FC6_theta	FC6_alpha	FC6_beta	FC6_gamma	O1_delta	O1_theta	O1_alpha	O1_beta	O1_gamma	O2_delta	O2_theta	O2_alpha	O2_beta	O2_gamma	P7_delta	P7_theta	P7_alpha	P7_beta	P7_gamma	P8_delta	P8_theta	P8_alpha	P8_beta	P8_gamma	T7_delta	T7_theta	T7_alpha	T7_beta	T7_gamma	T8_delta	T8_theta	T8_alpha	T8_beta	T8_gamma
29.74927707472892	30.432212409410827	37.37678958027884	82.13235992458063	61.74605703741169	23.312587707691264	29.649381686742274	50.51265551826297	117.57322764907516	76.45149752849994	25.761310400623632	29.792000273510556	34.82063840778903	77.80895337566041	56.12216959083689	21.49871845039511	23.755113945602822	42.105318322258384	82.77993783516236	53.85351634950186	31.66196666598676	33.97186844801396	44.31194855174663	106.54072293738459	63.92839125488192	23.18704154197218	28.770822873773675	53.26364625781959	119.77440311640383	68.28167489920929	27.343756345032645	26.95680957140163	34.34707853698031	75.99593329700133	53.59707795230198	23.449742385655856	25.902849414769985	48.86482823079433	108.77858671062413	60.84642890809056	23.63869698471978	25.637289628999845	29.8511359772842	80.89840313080097	52.166299485742705	21.60303872411535	25.028016899042964	36.02186790522778	87.7121978842933	60.85325647465911	24.191613727280895	26.153003707782517	18.291990025325546	66.40920031209933	47.227831279173046	24.124667453205056	33.95380644510007	51.65820409532983	112.00124183407529	72.42121664009696	27.53010767544393	24.004511348883565	37.68703617480094	76.92548098423913	47.4724111725579	24.268477688536997	31.241668194213986	46.81489229014029	102.65270274796643	54.46665077312835
30.552238861753303	29.586852059177275	39.35473677626943	85.22313919068408	52.198093951110444	27.50021201725432	24.459878268709897	40.5786000357034	102.51082413997455	48.85102175454242	23.987678047439033	24.21371954354096	29.469847808942685	83.34697434004168	44.976360514288665	26.506032525486198	25.54845079459454	34.66715422272782	88.7158978212213	55.56904405321809	27.011219666035103	28.78609944037109	40.51613167303965	87.80410105196255	62.87976838405293	27.95620099890786	28.027479133141405	40.94385807626142	102.40195354037989	49.14477904274294	25.262713624339003	28.796668105016032	35.10358310212864	76.8998081785601	47.197342922962974	25.706338230746898	23.39082728246711	40.98031658416951	98.78558017757268	52.76041202562791	24.232160720372715	26.63561889624088	29.218998742902457	79.19999881200589	59.68487169030979	20.776565838453664	23.496744331799583	27.644104058158607	84.47663201255284	55.126851246287096	24.694041545226494	20.05569242798677	32.153192757784225	69.50862775282559	36.34663702179699	22.291525129632568	30.766892534273694	45.4248247557296	111.08133661251345	70.59432265919337	25.652533740633636	28.80209076669012	36.42186510147983	78.56179029720323	60.989712277403626	26.492384770895796	23.334743732343977	40.56289366270782	96.4171932607708	56.159199112133706
26.270421612354383	26.009995919675557	40.891544217599595	95.81645682780187	58.59915479439486	22.854715099837698	27.535735357256357	42.51867551840694	100.86061194858192	65.26803588135166	21.456015255935487	21.69782350980963	34.51662481687752	85.06011265268832	49.76427975811475	17.514987770111823	20.103706778853144	31.27720838808458	87.80937576127015	55.71911172220043	27.43373410835553	32.92625461875533	40.3143040817224	103.32547244664612	68.42208196627084	30.07322771428813	34.10649511151465	42.44799660819585	107.36809945503217	66.6528619229521	24.256509420751122	28.66839209815329	31.42486080530663	82.59807882192182	45.357562604451914	25.800937665097116	27.560772622523164	37.39132190713091	99.7365780483404	60.36732825458732	25.283662003875662	25.756424853788793	30.41607677461702	85.0228863949867	46.601065781901966	25.313378741911244	20.640513531424332	32.53253208117987	80.8184038203824	47.41512678824191	20.47087799851368	23.260142974384316	26.961949988287703	72.91256692617893	44.63484893641028	27.212655907476503	27.18152702189574	44.41981341319312	110.48450605972528	69.97387374338342	18.965358732422935	27.262457327283514	28.64884067395984	73.70658406651741	51.71727020253576	27.507845356152373	27.62286728014599	37.32994059941479	93.53559323001213	57.74214899659969
33.238735726283835	37.46920746059709	37.340517776231756	98.83734900011873	57.11233036054654	32.542851188877385	32.72319968158628	45.75343391021377	106.32345748624228	71.96888406267612	26.031291852415713	24.132822984076785	32.959941543747064	80.22515556960319	49.56638872895456	24.397428718837567	24.06178388446043	34.81636688809783	74.61575406378319	50.28916895738943	28.37787428235903	30.03843588498416	44.04839218153817	112.99094088898029	55.9390524797372	28.1309277046604	37.30944647152629	43.796752676131135	108.43099257574946	65.87642728252911	27.01775366210045	25.591593635174526	36.93335596227726	90.53101109874078	45.913528936846056	25.901969921254064	34.410431910113815	35.75529455756247	98.82848102709211	57.1493865933134	23.33327857029722	28.943333793208467	34.22137978493543	86.48099454118771	56.5736932824882	24.606010637214148	28.790776757229178	37.742084018538144	80.67580461869571	60.83163080707328	23.368866537283058	25.610491795150843	34.136636184827374	71.48327318454129	43.17843135363732	28.684673854518287	33.59386239228334	40.59978921917308	102.54196940237283	63.35809606960355	25.303018780128678	28.369179799595916	36.56970389743611	84.35796782192452	42.47094977280133	27.375035073527208	32.88362483033726	40.90647847806623	102.14782667081603	60.275297891263705
28.478411305030143	33.68667911530438	40.45409851127453	97.4689428014642	60.52920646354038	30.907879912639007	32.32094440924053	44.60815449806198	105.29950632660972	69.95776170028948	27.847479943729233	26.126859154973165	30.653050521774578	85.22355030616663	58.29783728541329	28.733299623322324	28.441668336142037	39.59028796576267	91.28788103902382	60.92904394301375	29.18683919076337	37.434653450503944	50.54312749531579	108.39498323616753	69.90960868148551	30.530285012284782	36.025068273628534	53.23013778177902	117.30817132701266	76.34571068361458	39.60366445641393	45.803475045958905	61.07363536101862	162.10280668076118	106.75618227727915	28.741620931971628	31.980197848419138	49.17700811132943	107.87440680075635	74.0785834396875	26.612800728414093	24.062313478400633	33.6368176774702	73.10278128581432	63.628055615098866	26.651700088898526	24.165995493822038	40.70840148206837	79.36699560650959	65.72122969287103	24.687524748471898	19.375923782435997	32.17934908466563	61.25343011562194	49.820948040984966	28.18112174033769	36.48490469007805	54.28154466440019	144.77600852589165	97.86894797601488	30.300447841170133	35.160409349328454	41.41591016283924	96.74038339507847	61.04127891567428	27.4563685067243	30.879402986727552	49.39815218241522	103.37965966953392	72.25867318378975
26.25978352128979	31.27727806718456	33.900886730346826	83.0794878043688	55.15955353100856	21.17223386782537	25.2478936826162	37.73652654863176	92.25301720653044	61.36844857180717	21.437174234478576	22.295740376917255	34.155510042828055	73.75124943928711	51.93488748282047	18.919167403516052	21.74393496404297	35.133420707137816	68.91180493335654	49.130539089208895	24.962325293680912	26.301037387279425	38.026283424034105	96.22259441591767	46.77568551376261	20.867035134267628	23.02056843702468	36.53583939012374	77.29800009216784	53.49517014981056	28.111991348764388	25.53053586657765	29.91575454148218	82.46990676748845	39.36582470914755	21.052930634887527	22.87413899365363	36.664229181641055	77.88674229038688	55.197414672592835	22.307059450585307	22.852625332536192	31.41319293097008	68.68421951687174	45.57110070197387	24.276025460556593	26.911975111745612	37.45543749311647	67.4748645582827	53.99454414908715	20.047163005441792	19.533658076273234	31.782157437999558	80.46478879944777	47.125258222602504	20.54516454847685	28.43300449008197	43.47932397868111	92.74574571649534	68.8069129314231	22.105771285262723	17.707071271261903	29.66871951173379	82.07699550495514	45.88351855692214	22.746184051384734	25.904730642594263	34.04570580987672	79.92356109697712	57.87861705074027
29.404912739625857	40.778489949861566	47.22629089960138	104.14946912711504	67.38234941613852	25.846460012162485	29.598444271489605	46.717738283080095	108.53778892909817	61.34320795578549	23.359161685190628	21.64554641822486	35.724845163598765	78.31020144246786	50.87284645120758	26.217108159672353	24.435917308508742	42.07389450404918	94.19866003270062	47.009232517354256	27.79620598852924	36.933754744676335	51.14224931770356	119.27292603171303	75.07968514419213	28.975620608928846	39.44006146708067	52.5706300769961	112.64852652307265	69.22676937261613	26.445581218458738	31.085907556578668	38.64345131848354	107.38004835857757	62.56537136778715	26.44387612131259	35.72710359249686	48.22424192021598	107.28939882574522	57.84175504502582	25.409054477143123	22.031043911326034	33.94098508112496	80.60771962751735	57.32888487154331	23.863233815039855	31.225894209025142	41.060603921081	93.20731214151525	63.54895617214255	22.525978057291873	26.72286352913474	30.016113236985785	74.85218454299978	49.99287602035045	28.21347895814392	35.63379849708048	48.79982817457009	117.67079965797026	68.47484023282732	24.293160644389797	29.039049882536652	38.51805136810925	79.38199277771722	51.337782434675134	27.045729452362764	37.18979888687689	45.83141805724649	105.90902265800148	63.448601333725456
28.80045024533709	34.29607463045916	30.36376259380412	88.97848644633798	58.26530493818615	24.628103196988373	18.27600004979257	30.568047489075074	96.64105115328772	67.53279071079946	22.693693063720186	20.2745595697891	31.20575826454254	75.2674461027496	55.44426670685615	24.17169881882205	24.310583276334913	32.6297145238961	79.05987139722801	59.736889256533445	24.707761435363178	24.462691527055927	34.396837330345456	86.98120813663043	53.631395242674856	27.077496402332784	27.670534003550067	37.51019929421437	102.14562054903949	63.263303716937855	32.284496679321414	38.79376420061101	47.59270732434431	113.30667860390862	62.75962423949622	26.15318011209084	25.49285058381162	34.22531605817428	96.05965784669064	62.957309765867564	20.569230808806452	24.447488014604062	26.893885555185022	80.65976250138924	57.322205082932655	25.940881649924503	27.374268973987004	36.17904992263848	90.19412588169611	52.94662261534201	22.3400457652413	25.091293816962505	29.79390647511778	72.90514367276226	49.56690394595284	22.929127699032957	29.819387178422996	42.87460186858237	108.12243278356372	66.79750360214119	23.333398071388384	27.611485265335855	34.57447110031427	72.73865929137357	44.28410938086032	25.13438772201521	29.19595142307575	33.31978885239292	94.66283408719625	57.312386947348244
25.982719197623155	25.941092020537724	38.52602464846987	91.85697400940289	58.68887765226541	20.597791915227802	27.040248762631517	38.72004987291528	85.52854078160846	65.28548365537797	18.82010067893736	21.312581981887163	32.66720229935043	79.8704785442487	48.345682531465435	22.943963703551567	20.824373427288602	33.57830098052245	63.759454250147655	48.550734721154925	24.107163217667054	28.71529222427472	41.62988014121789	104.78009389848798	66.89289018781179	24.77203127201631	32.98063228931146	43.392480728516055	102.16369594962981	55.7356058160875	29.387697310386656	25.735082268368373	40.63311308981236	92.55126685144788	50.30955130508328	29.700181521469005	34.9158065391936	44.537360152893704	89.16423598062076	52.69801782201014	15.633726970170631	25.307571741075904	36.93347110664161	75.7982684010575	59.105348091594834	17.29846529044682	26.194881352646913	31.629076412125517	85.27204596667575	44.55896416009793	19.705329255929467	21.620982880509263	31.027430821414402	67.52020453696844	47.142026678967106	24.98274663722683	32.8101507487085	44.30471355030384	101.32901829772585	63.9567765177472	20.334828243525948	23.210919097612564	30.60065526665185	88.31961169395045	55.32190155065689	22.901967129964802	32.478953877670236	40.355324008291284	94.30196787180766	48.244229764828546
24.97529442780052	34.44526700021124	44.94077229561164	99.57446647577764	65.89654600032026	35.104268507844715	35.429969614870835	47.80932944480088	111.45142714845484	65.05782718075307	25.690824907133738	29.52795773404429	30.893931628405667	82.90891530217728	55.807757882076174	23.632905838557157	31.562667971298765	29.218961064104512	93.77255334039573	50.73649132815468	40.83102687690629	40.518535664838126	59.368591525746105	135.78204510430413	82.84964954793237	31.99866868890703	38.30114546766454	45.355035388906714	112.26414427822289	68.68336502906865	27.875681492482386	31.537501345909686	30.859620709982895	98.83494586989362	59.87398093770594	25.017004011207888	33.09666604694573	44.801693514842654	106.85066320338076	60.50749662474085	25.43066737296843	28.65393798067889	31.229537047533512	88.38837275758573	53.53014006212071	21.20533042508	26.120374452259338	35.7762913619751	91.75510096170353	58.08696184556723	18.463763283469927	28.046537550190905	34.64193862373274	83.38652143156818	53.139168868956	24.41447072485584	30.952465314546938	42.84926123235028	112.57918124782422	67.10981466575063	27.285058101746216	33.668826677398634	33.079484306523135	81.12850573937057	50.98790560486261	25.565910258402265	30.793147029646292	43.42991982417908	105.05426604299865	60.16374104135547
