006-RanTask,,,,,,,,
,,,Condition / Trial,,,,,
,Calibration Raw,Calibration Adjusted,Condition 1 - Trial 1,Condition 1 - Trial 2,Condition 2 - Trial 1,Condition 2 - Trial 2,Condition 3 - Trial 1,Condition 3 - Trial 2
Mental ,5,0.333333333333333,13,12,10,15,17,18
Physical,0,0,2,3,3,2,5,3
Temporal,3,0.2,10,7,9,13,18,18
Performance,2,0.133333333333333,12,13,11,6,7,4
Effort,1,0.0666666666666667,9,7,11,14,14,17
Frustration,4,0.266666666666667,8,4,8,13,14,14
Total,15,1,53.3333333333333,43.3333333333333,47.3333333333333,64,74.3333333333333,75
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
