Expected: 2, 0, 3
13:36:07.382
13:36:09.386:   [0, 1, 0],1, 0
13:36:11.387:   [0, 2, 0],1, 0
13:36:13.388:   [0, 2, 1],2, 0
13:36:15.389:   [0, 3, 1],1, 0
13:36:17.391:   [0, 3, 2],2, 0
13:36:18.224:   High
13:36:19.392:   [0, 3, 0],2, 1
13:36:21.393:   [0, 4, 0],1, 0
13:36:23.394:   [1, 4, 0],0, 0
13:36:24.207:   Low
13:36:25.395:   [0, 4, 0],0, 1
13:36:27.396:   [0, 5, 0],1, 0
13:36:29.397:   [0, 6, 0],1, 0
13:36:31.398:   [0, 7, 0],1, 0
13:36:33.400:   [0, 8, 0],1, 0
13:36:35.400:   [0, 8, 1],2, 0
13:36:37.400:   [0, 9, 1],1, 0
13:36:39.400:   [0, 10, 1],1, 0
13:36:41.401:   [1, 10, 1],0, 0
13:36:43.401:   [1, 11, 1],1, 0
13:36:45.401:   [1, 12, 1],1, 0
13:36:47.119:   Low
13:36:47.401:   [0, 12, 1],0, 1
13:36:49.401:   [1, 12, 1],0, 0
13:36:50.438:   Low
13:36:51.402:   [0, 12, 1],0, 1
13:36:53.402:   [1, 12, 1],0, 0
13:36:55.402:   [1, 13, 1],1, 0
13:36:56.231:   High
13:36:57.402:   [1, 13, 0],2, -1
13:36:59.402:   [1, 14, 0],1, 0
13:37:01.402:   [1, 15, 0],1, 0
13:37:02.695:   Low
13:37:03.402:   [0, 15, 0],0, 1
13:37:05.402:   [0, 16, 0],1, 0
13:37:07.402:   [0, 17, 0],1, 0
13:37:09.403:   [0, 17, 1],2, 0
13:37:11.403:   [1, 17, 1],0, 0
13:37:13.403:   [1, 17, 2],2, 0
13:37:15.403:   [1, 18, 2],1, 0
13:37:16.527:   High
13:37:17.403:   [1, 18, 0],2, 1
13:37:19.403:   [1, 19, 0],1, 0
13:37:20.471:   Low
13:37:21.403:   [0, 19, 0],0, 1
13:37:23.403:   [0, 20, 0],1, 0
13:37:24.886:   High
13:37:25.403:   [0, 20, 0],2, -1
13:37:27.404:   [0, 20, 1],2, 0
13:37:29.404:   [1, 20, 1],0, 0
13:37:31.404:   [1, 21, 1],1, 0
13:37:33.404:   [1, 22, 1],1, 0
13:37:35.404:   [1, 22, 2],2, 0
13:37:37.404:   [1, 23, 2],1, 0
13:37:39.404:   [1, 24, 2],1, 0
13:37:40.471:   High
13:37:41.404:   [1, 24, 0],2, 1
13:37:43.405:   [1, 24, 1],2, 0
13:37:45.405:   [1, 25, 1],1, 0
13:37:47.405:   [1, 26, 1],1, 0
13:37:49.405:   [1, 27, 1],1, 0
13:37:51.405:   [1, 28, 1],1, 0
13:37:52.455:   Low
13:37:53.405:   [0, 28, 1],0, 1
13:37:55.405:   [1, 28, 1],0, 0
13:37:57.405:   [1, 29, 1],1, 0
13:37:59.405:   [1, 29, 2],2, 0
13:38:00.487:   Low
13:38:01.406:   [0, 29, 2],0, 1
13:38:02.655:   High
13:38:03.406:   [0, 29, 0],2, 1
13:38:05.406:   [0, 30, 0],1, 0
13:38:07.406:   [0, 30, 1],2, 0
13:38:09.406:   [0, 30, 2],2, 0
13:38:10.183:   High
13:38:11.406:   [0, 30, 0],2, 1
13:38:13.406:   [0, 31, 0],1, 0
13:38:15.406:   [1, 31, 0],0, 0
13:38:16.814:   Low
13:38:17.406:   [0, 31, 0],0, 1
13:38:19.407:   [1, 31, 0],0, 0
13:38:21.407:   [1, 32, 0],1, 0
13:38:23.407:   [1, 32, 1],2, 0
13:38:25.407:   [1, 32, 2],2, 0
13:38:26.377:   High
13:38:27.407:   [1, 32, 0],2, 1
13:38:29.407:   [1, 32, 1],2, 0
13:38:30.239:   Low
13:38:31.407:   [0, 32, 1],0, 1
13:38:33.407:   [1, 32, 1],0, 0
13:38:34.590:   Low
13:38:35.407:   [0, 32, 1],0, 1
13:38:37.408:   [0, 32, 2],2, 0
13:38:39.408:   [1, 32, 2],0, 0
13:38:41.408:   [1, 32, 3],2, 0
13:38:42.079:   Low
13:38:43.408:   [0, 32, 3],0, 1
13:38:45.408:   [1, 32, 3],0, 0
13:38:46.439:   Low
13:38:47.408:   [0, 32, 3],0, 1
13:38:49.408:   [0, 33, 3],1, 0
13:38:51.408:   [0, 34, 3],1, 0
13:38:53.409:   [1, 34, 3],0, 0
13:38:54.255:   Low
13:38:55.409:   [0, 34, 3],0, 1
13:38:57.409:   [0, 35, 3],1, 0
13:38:59.409:   [1, 35, 3],0, 0
13:39:00.471:   High
13:39:01.409:   [1, 35, 0],2, -1
13:39:02.471:   Low
13:39:03.409:   [0, 35, 0],0, 1
13:39:05.409:   [0, 36, 0],1, 0
13:39:07.409:   [0, 37, 0],1, 0
13:39:09.409:   [1, 37, 0],0, 0
13:39:10.302:   Low
13:39:11.410:   [0, 37, 0],0, 1
13:39:13.410:   [0, 37, 1],2, 0
13:39:15.410:   [0, 37, 2],2, 0
13:39:17.410:   [1, 37, 2],0, 0
13:39:18.295:   High
13:39:19.410:   [1, 37, 0],2, 1
13:39:21.410:   [1, 37, 1],2, 0
13:39:23.410:   [1, 38, 1],1, 0
13:39:24.335:   Low
13:39:25.410:   [0, 38, 1],0, 1
13:39:27.410:   [0, 39, 1],1, 0
13:39:29.411:   [1, 39, 1],0, 0
13:39:30.551:   Low
13:39:31.411:   [0, 39, 1],0, 1
13:39:33.411:   [0, 40, 1],1, 0
13:39:35.411:   [0, 41, 1],1, 0
13:39:37.411:   [1, 41, 1],0, 0
13:39:39.411:   [1, 41, 2],2, 0
13:39:41.411:   [1, 41, 3],2, 0
13:39:42.559:   Low
13:39:43.411:   [0, 41, 3],0, 1
13:39:45.412:   [0, 42, 3],1, 0
13:39:47.412:   [0, 43, 3],1, 0
13:39:48.735:   High
13:39:49.412:   [0, 43, 0],2, -1
13:39:51.412:   [0, 43, 1],2, 0
13:39:53.412:   [0, 44, 1],1, 0
13:39:55.412:   [0, 45, 1],1, 0
13:39:57.412:   [0, 45, 2],2, 0
13:39:58.335:   High
13:39:59.412:   [0, 45, 0],2, 1
13:40:01.412:   [0, 45, 1],2, 0
13:40:02.590:   Low
