Expected: 2, 2, 3
17:12:22.648
17:12:24.651:   [1, 0, 0],0, 0
17:12:26.652:   [1, 0, 1],2, 0
17:12:28.488:   Low
17:12:28.653:   [0, 0, 1],0, 1
17:12:30.654:   [1, 0, 1],0, 0
17:12:32.655:   [1, 0, 2],2, 0
17:12:33.823:   High
17:12:34.656:   [1, 0, 0],2, 1
17:12:36.658:   [1, 0, 1],2, 0
17:12:38.659:   [1, 1, 1],1, 0
17:12:39.736:   Low
17:12:40.660:   [0, 1, 1],0, 1
17:12:42.661:   [0, 2, 1],1, 0
17:12:43.800:   High
17:12:44.662:   [0, 3, 0],1, -1
17:12:46.663:   [0, 3, 1],2, 0
17:12:48.664:   [1, 3, 1],0, 0
17:12:50.665:   [1, 3, 2],2, 0
17:12:51.831:   High
17:12:52.665:   [1, 3, 0],2, 1
17:12:54.666:   [1, 4, 0],1, 0
17:12:56.666:   [1, 4, 1],2, 0
17:12:57.800:   Low
17:12:58.666:   [0, 4, 1],0, 1
17:13:00.666:   [1, 4, 1],0, 0
17:13:01.408:   Low
17:13:02.666:   [0, 4, 1],0, 1
17:13:04.666:   [1, 4, 1],0, 0
17:13:06.239:   Medium
17:13:06.666:   [1, 0, 1],1, -1
17:13:08.666:   [1, 1, 1],1, 0
17:13:10.667:   [1, 1, 2],2, 0
17:13:11.952:   High
17:13:12.667:   [1, 1, 0],2, 1
17:13:14.667:   [1, 1, 1],2, 0
17:13:15.960:   Medium
17:13:16.667:   [1, 0, 1],1, 1
17:13:18.667:   [1, 0, 2],2, 0
17:13:19.768:   Low
17:13:20.667:   [0, 0, 2],0, 1
17:13:22.667:   [1, 0, 2],0, 0
17:13:24.667:   [1, 1, 2],1, 0
17:13:25.751:   Medium
17:13:26.667:   [1, 0, 2],1, 1
17:13:28.668:   [1, 0, 3],2, 0
17:13:29.176:   High
17:13:30.668:   [1, 1, 0],1, 1
17:13:31.856:   Low
17:13:32.668:   [0, 1, 0],0, 1
17:13:34:   Medium
17:13:34.668:   [0, 0, 0],1, 1
17:13:36.668:   [0, 1, 0],1, 0
17:13:37.778:   Medium
17:13:38.668:   [0, 0, 0],1, 1
17:13:40.668:   [0, 1, 0],1, 0
17:13:42.668:   [0, 1, 1],2, 0
17:13:44.668:   [0, 1, 2],2, 0
17:13:45.688:   High
17:13:46.669:   [0, 1, 0],2, 1
17:13:48.669:   [0, 2, 0],1, 0
17:13:48.696:   Medium
17:13:50.669:   [1, 0, 0],0, 1
17:13:51.808:   Low
17:13:52.669:   [0, 0, 0],0, 1
17:13:54.669:   [0, 0, 1],2, 0
17:13:56.669:   [1, 0, 1],0, 0
17:13:58.669:   [1, 0, 2],2, 0
17:14:00.669:   [1, 1, 2],1, 0
17:14:01.919:   Medium
17:14:02.669:   [1, 0, 2],1, 1
17:14:03.808:   Low
17:14:04.670:   [0, 0, 2],0, 1
17:14:05.960:   High
17:14:06.670:   [0, 0, 0],2, 1
17:14:08.670:   [0, 1, 0],1, 0
17:14:10.670:   [0, 1, 1],2, 0
17:14:12.670:   [1, 1, 1],0, 0
17:14:13.696:   Low
17:14:14.670:   [0, 1, 1],0, 1
17:14:16.670:   [0, 2, 1],1, 0
17:14:18.670:   [0, 2, 2],2, 0
17:14:18.719:   Medium
17:14:19.719:   High
17:14:20.671:   [0, 0, 0],1, -1
17:14:22.080:   Medium
17:14:22.671:   [0, 0, 0],1, -1
17:14:24.671:   [1, 0, 0],0, 0
17:14:25.680:   Low
17:14:26.671:   [0, 0, 0],0, 1
17:14:28.671:   [1, 0, 0],0, 0
17:14:30.671:   [1, 0, 1],2, 0
17:14:32.671:   [1, 0, 2],2, 0
17:14:34.671:   [1, 1, 2],1, 0
17:14:35.807:   High
17:14:36.671:   [1, 1, 0],2, 1
17:14:37.832:   Low
17:14:38.672:   [0, 1, 0],0, 1
17:14:39.792:   Medium
17:14:40.672:   [0, 0, 0],1, 1
17:14:42.672:   [0, 1, 0],1, 0
17:14:43.568:   Medium
17:14:44.672:   [0, 0, 0],1, 1
17:14:46.672:   [1, 0, 0],0, 0
17:14:48.672:   [1, 0, 1],2, 0
17:14:50.672:   [1, 1, 1],1, 0
17:14:51.983:   Low
17:14:52.672:   [0, 1, 1],0, 1
17:14:54.672:   [0, 1, 2],2, 0
17:14:56.673:   [1, 1, 2],0, 0
17:14:57.808:   High
17:14:58.673:   [1, 1, 0],2, 1
17:15:00.673:   [1, 1, 1],2, 0
17:15:01.792:   Low
17:15:02.673:   [0, 1, 1],0, 1
17:15:04.673:   [1, 1, 1],0, 0
17:15:05.608:   Low
17:15:06.673:   [0, 1, 1],0, 1
17:15:08.673:   [1, 1, 1],0, 0
17:15:10.673:   [1, 1, 2],2, 0
17:15:12.487:   Low
17:15:12.674:   [0, 2, 2],1, -1
17:15:14.674:   [0, 3, 2],1, 0
17:15:15.616:   Low
17:15:16.674:   [0, 4, 2],1, -1
17:15:18.320:   High
17:15:18.674:   [0, 4, 0],2, 1
17:15:20.600:   Medium
17:15:20.674:   [0, 0, 0],1, -1
17:15:22.674:   [1, 0, 0],0, 0
17:15:23.704:   Low
17:15:24.674:   [0, 0, 0],0, 1
17:15:26.674:   [0, 1, 0],1, 0
17:15:27.863:   Medium
17:15:28.674:   [0, 0, 0],1, 1
17:15:30.675:   [0, 0, 1],2, 0
17:15:32.675:   [0, 1, 1],1, 0
17:15:34.675:   [1, 1, 1],0, 0
17:15:36.675:   [1, 1, 2],2, 0
17:15:37.640:   High
17:15:38.675:   [1, 1, 0],2, 1
17:15:40.440:   Medium
17:15:40.675:   [1, 0, 0],1, 1
17:15:42.675:   [1, 1, 0],1, 0
17:15:44.675:   [1, 1, 1],2, 0
17:15:46.675:   [1, 1, 2],2, 0
17:15:48.024:   Medium
17:15:48.676:   [1, 0, 2],1, 1
17:15:50.160:   High
17:15:50.676:   [1, 0, 0],2, 1
17:15:52.676:   [1, 0, 1],2, 0
17:15:53.864:   Low
17:15:54.676:   [0, 0, 1],0, 1
17:15:56.676:   [0, 1, 1],1, 0
17:15:58.676:   [1, 1, 1],0, 0
17:16:00.676:   [1, 1, 2],2, 0
17:16:01.847:   Medium
17:16:02.676:   [1, 0, 2],1, 1
17:16:03.783:   High
17:16:04.676:   [1, 0, 0],2, 1
17:16:06.677:   [1, 0, 1],2, 0
17:16:07.736:   Low
17:16:08.677:   [0, 0, 1],0, 1
17:16:10.677:   [0, 1, 1],1, 0
17:16:12.677:   [1, 1, 1],0, 0
17:16:13.856:   High
17:16:14.677:   [1, 1, 0],2, -1
17:16:15.728:   Low
17:16:16.677:   [0, 1, 0],0, 1
17:16:18.677:   [0, 1, 1],2, 0
17:16:20.677:   [1, 1, 1],0, 0
17:16:22.678:   [1, 2, 1],1, 0
17:16:23.744:   Medium
17:16:24.678:   [1, 0, 1],1, -1
17:16:26.678:   [1, 1, 1],1, 0
17:16:28.678:   [1, 1, 2],2, 0
17:16:30.104:   Medium
17:16:30.678:   [1, 0, 2],1, 1
17:16:32.192:   High
17:16:32.678:   [1, 0, 0],2, 1
17:16:34.678:   [1, 0, 1],2, 0
17:16:36.678:   [1, 1, 1],1, 0
17:16:37.679:   Medium
17:16:38.678:   [1, 0, 1],1, 1
17:16:40.679:   [1, 0, 2],2, 0
17:16:42.679:   [1, 1, 2],1, 0
17:16:43.616:   Medium
17:16:44.679:   [1, 0, 2],1, 1
17:16:46.679:   [1, 1, 2],1, 0
17:16:48.144:   Low
17:16:48.679:   [0, 1, 2],0, 1
17:16:50.679:   [0, 2, 2],1, 0
17:16:52.679:   [1, 2, 2],0, 0
17:16:53.671:   Low
17:16:54.679:   [0, 2, 2],0, 1
17:16:56.679:   [1, 2, 2],0, 0
17:16:57.792:   Low
